Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFE,IC.BUS.DISC.XQ,,,,,,3.730769231,3.730769231,3.730769231,3.692307692,3.884615385,3.961538462,4.115384615,4.230769231,4.346153846,4.423076923,4.538461538,4.692307692,4.730769231,4.884615385,4.884615385,,
AFE,IC.CRD.INFO.XQ,,,,,,,,,,,,,,2.24,2.4,3.269230769,3.769230769,4.346153846,4.423076923,4.5,,
AFE,FS.AST.PRVT.GD.ZS,74.97989263,77.0031299,62.43237609,71.32643204,80.26804518,85.82185388,94.99000245,94.00022108,78.9334706,79.25233916,83.97108429,74.99919038,77.60889525,74.17936503,72.39633353,65.15738337,62.90768591,64.24600916,65.29063927,63.56233563,59.74422465,
AFE,EG.USE.ELEC.KH.PC,780.702624,743.916044,769.0808541,774.3341662,777.6720907,780.8510523,789.4878405,796.9019357,760.5768971,723.9149031,740.4176551,740.7416057,703.9084009,698.3699142,686.7280572,,,,,,,
AFE,EG.IMP.CONS.ZS,-31.39107007,-29.13632284,-32.91088405,-32.41999432,-31.16181607,-35.9394233,-38.80578932,-41.69427548,-40.02563909,-38.31427095,-38.28415872,-34.62272531,-32.24499155,-32.03500673,-31.65542612,,,,,,,
AFE,GC.XPN.TOTL.GD.ZS,,,,,,,,,,23.80610282,23.76459358,25.51681578,23.45766515,25.12889895,25.06694119,23.99008994,22.90820615,25.42216659,24.36487823,25.81299717,,
AFE,IT.NET.BBND.P2,,,,,,0.061409539,0.112406495,0.133731926,0.14539061,0.180793682,0.197978031,0.294526354,0.354239757,0.457200828,0.54037782,0.519799225,0.51305081,0.544641692,0.696897405,0.62407602,0.740055765,
AFE,IT.MLT.MAIN.P2,1.860830997,1.859696536,1.901948957,1.955030397,1.948368036,1.842862969,1.824090479,1.839430931,1.833537953,1.872543022,1.823849843,1.728802849,1.633809838,1.359376962,1.312356364,1.29483888,1.363999664,1.345245299,1.004737886,0.818892491,0.803164021,
AFE,NY.GDP.MKTP.KD.ZG,3.350773496,3.658701215,3.893379077,3.080376027,5.508355413,6.11680123,6.554880874,6.604282248,4.343456451,0.761219025,5.152125349,3.680870461,0.923067182,4.200208842,3.984386861,2.952845384,2.217016505,2.557135194,2.485244225,2.025940679,-2.886855648,4.303667021
AFE,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,
AFE,SE.XPD.TOTL.GD.ZS,3.769109964,4.572579861,,,3.74496007,3.818970084,3.784489989,,3.844995141,3.585380077,4.496590137,4.269299984,4.677365065,4.621734858,4.839839935,4.815085173,4.821875095,4.963089943,4.951634884,4.846844912,4.608170033,
AFE,TX.VAL.TECH.MF.ZS,,,,,,,,,,4.579848578,4.770441686,,,5.235445051,,6.517055262,6.442630149,6.163770189,4.286611681,6.91918614,4.41299004,
AFE,FP.CPI.TOTL.ZG,8.601485149,5.840353983,8.763753664,7.44970014,5.023420686,8.558038022,8.898163802,8.450774806,12.56664466,8.954218024,5.537537916,8.97120641,9.158707155,5.750981334,5.37028961,5.250170864,6.571396422,6.399343416,4.720811389,4.12024587,5.404814672,7.240977656
AFE,FR.INR.LNDP,10.25041667,10.16125,9.979166667,9.973155528,9.036493326,7.9,8.096160988,8,7.868441667,8.121353814,9.268636417,8.619903139,7.855833333,7.394308071,8.140551099,7.566750954,8.809951108,8.691920426,9.116106373,9.022438516,8.13087002,6.299056282
AFE,SL.TLF.CACT.FE.ZS,66.31903452,66.4895699,66.71305451,66.94403594,67.13786342,67.32986891,67.24176213,67.04374405,66.84472953,66.42022111,65.9846424,65.76293085,65.57092201,65.65449551,65.64386497,65.83116857,65.91704578,66.1259219,66.23008413,66.36214217,64.11189079,64.87819806
AFE,SL.TLF.CACT.MA.ZS,78.92393086,78.87388753,78.82617581,78.76916922,78.6807045,78.60576014,78.46090972,78.30337343,78.15515042,77.78228692,77.41750874,77.25463396,77.19241669,77.18391885,77.12071717,77.18511139,77.13283158,77.02166102,76.80972247,76.64039198,74.97324454,75.55893826
AFE,LP.LPI.OVRL.XQ,,,,,,,,2.385238095,,,2.38,,2.464210526,,2.469728182,,2.578622571,,2.492222222,,,
AFE,CM.MKT.LCAP.GD.ZS,107.4440944,85.58942299,,116.5629116,153.186913,168.4990425,,,,,,,,,,,,,,,,
AFE,MS.MIL.XPND.GD.ZS,2.017056596,1.973853725,2.055572019,1.781583544,1.87359535,1.839746583,1.85835316,1.836788126,1.969399879,2.007892523,1.594661985,1.5558646,1.590402559,1.775406661,1.818082715,1.634912295,1.428236853,1.503970149,1.148091479,1.108202816,1.148446712,
AFE,IT.CEL.SETS.P2,2.51535823,3.460504794,4.562978727,6.031836752,7.949496954,12.48357942,16.80095702,21.49708967,27.87913161,32.32536845,38.90075983,48.47290174,53.25814846,58.23449161,62.53731242,67.99350423,64.96315617,64.88158725,72.93173353,69.50529776,71.88918824,
AFE,GC.NLD.TOTL.GD.ZS,,,,,,,,,,-5.130099132,-2.75829258,-1.356529584,-1.758126986,-3.236691861,-4.347271561,-4.308452809,-3.789661032,-4.972240534,-3.929795807,-4.083891747,,
AFE,EN.URB.LCTY.UR.ZS,28.46616071,28.49247387,28.51313889,28.50742172,28.50923981,28.4969296,28.53086078,28.34718404,28.38601043,28.42281578,28.45792809,28.49120768,28.53392001,28.59751071,28.69165635,28.7063205,28.73155375,28.76664218,28.76164816,28.73742035,28.72590597,28.72868618
AFE,GB.XPD.RSDV.GD.ZS,,,,0.594840934,0.626378711,0.627772081,,0.661803726,,,0.58708646,,,,,,,,,,,
AFE,IC.LGL.CRED.XQ,,,,,,,,,,,,,,4,4.04,3.923076923,4.076923077,4.307692308,4.538461538,4.538461538,,
